season_id,award_year,player_name_raw,player_name_canonical,canonical_id,rank,eval_period_start,eval_period_end,club_at_time,nation_team,position_raw,position_group,is_forward,is_midfielder,is_defender,is_goalkeeper,league_goals,league_apps,goals_per_app,durability_apps,is_missing_stats,ucl_winner,league_winner,domestic_and_ucl_double,is_world_cup_year,is_euro_year,is_copa_year,nation_won_world_cup,nation_won_euro,nation_won_copa,nation_won_any_international,club_prestige_tier,club_prestige_score,market_size_proxy,signature_moment_flag,recency_boost_proxy,era,eval_type,source,league_goals_imputed_flag,league_apps_imputed_flag,goals_per_app_imputed_flag,goals_percentile_in_year,apps_percentile_in_year,goals_per_app_percentile_in_year
1956,1956,Stanley Matthews,Stanley Matthews,stanley-matthews-1915,1,1956-01-01,1956-12-31,Blackpool,England,Outside right,unknown,0,0,0,0,3.0,36.0,0.08333333333333333,36.0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,22.916666666666664,100.0,20.833333333333336
1956,1956,Alfredo Di Stéfano,Alfredo Di Stéfano,alfredo-di-stefano-1926,2,1956-01-01,1956-12-31,Real Madrid,Spain,Forward midfielder,forward,1,0,0,0,24.0,30.0,0.8,30.0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,1,1,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,95.83333333333334,45.83333333333333,95.83333333333334
1956,1956,Raymond Kopa,Raymond Kopa,raymond-kopa-1931,3,1956-01-01,1956-12-31,Reims Real Madrid,France,Forward attacking midfielder,forward,1,0,0,0,5.0,30.0,0.16666666666666666,30.0,0,1,0,0,0,0,0,0,0,0,0,1,3,3,1,1,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,35.41666666666667,45.83333333333333,29.166666666666668
1956,1956,Ferenc Puskás,Ferenc Puskás,ferenc-puskas-1927,4,1956-01-01,1956-12-31,Budapest Honvéd,Hungary,Forward attacking midfielder,forward,1,0,0,0,8.0,19.0,0.42105263157894735,19.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,70.83333333333334,6.25,70.83333333333334
1956,1956,Lev Yashin,Lev Yashin,lev-yashin-1929,5,1956-01-01,1956-12-31,Dynamo Moscow,Soviet Union,Goalkeeper,goalkeeper,0,0,0,1,0.0,19.0,0.0,19.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,6.25,6.25,6.25
1956,1956,József Bozsik,József Bozsik,jozsef-bozsik-1925,6,1956-01-01,1956-12-31,Budapest Honvéd,Hungary,Central midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1956,1956,Ernst Ocwirk,Ernst Ocwirk,ernst-ocwirk-1926,7,1956-01-01,1956-12-31,Austria Wien Sampdoria,Austria,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1956,1956,Sándor Kocsis,Sándor Kocsis,sandor-kocsis-1929,8,1956-01-01,1956-12-31,Budapest Honvéd,Hungary,Striker,forward,1,0,0,0,13.0,21.0,0.6190476190476191,21.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,79.16666666666666,12.5,91.66666666666666
1956,1956,Thadée Cisowski,Thadée Cisowski,thadee-cisowski-1927,9,1956-01-01,1956-12-31,RC Paris,France,Striker,forward,1,0,0,0,31.0,29.0,1.0689655172413792,29.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,100.0,33.33333333333333,100.0
1956,1956,Ivan Kolev,Ivan Kolev,ivan-kolev,9,1956-01-01,1956-12-31,CDNA Sofia,Bulgaria,,unknown,0,0,0,0,5.0,28.0,0.1724137931034483,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,35.41666666666667,25.0,37.5
1956,1956,Billy Wright,Billy Wright,billy-wright,9,1956-01-01,1956-12-31,Wolverhampton Wanderers,England,,unknown,0,0,0,0,5.0,28.0,0.1724137931034483,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,35.41666666666667,25.0,37.5
1956,1956,Júlio Botelho,Júlio Botelho,julio-botelho-1929,12,1956-01-01,1956-12-31,Fiorentina,Italy,Right winger,forward,1,0,0,0,16.0,30.0,0.5348837209302325,,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,87.5,45.83333333333333,79.16666666666666
1956,1956,Stefan Bozhkov,Stefan Bozhkov,stefan-bozhkov-1923,13,1956-01-01,1956-12-31,CDNA Sofia,Bulgaria,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1956,1956,Duncan Edwards,Duncan Edwards,duncan-edwards-1936,13,1956-01-01,1956-12-31,Manchester United,England,Left half,unknown,0,0,0,0,3.0,33.0,0.09090909090909091,33.0,0,0,1,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,22.916666666666664,95.83333333333334,25.0
1956,1956,Gerhard Hanappi,Gerhard Hanappi,gerhard-hanappi-1929,13,1956-01-01,1956-12-31,Rapid Wien,Austria,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1956,1956,Robert Jonquet,Robert Jonquet,robert-jonquet-1925,13,1956-01-01,1956-12-31,Reims,France,Defender,defender,0,0,1,0,2.0,32.0,0.07407407407407407,,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,14.583333333333334,87.5,14.583333333333334
1956,1956,Miguel Montuori,Miguel Montuori,miguel-montuori-1932,13,1956-01-01,1956-12-31,Fiorentina,Italy,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1956,1956,Pepillo,Pepillo,pepillo,13,1956-01-01,1956-12-31,Sevilla,Spain,,unknown,0,0,0,0,5.0,28.0,0.1724137931034483,,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,35.41666666666667,25.0,37.5
1956,1956,Juan Alberto Schiaffino,Juan Alberto Schiaffino,juan-alberto-schiaffino-1925,13,1956-01-01,1956-12-31,Milan,Italy,Attacking midfielder forward,forward,1,0,0,0,16.0,30.0,0.5348837209302325,,1,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,87.5,45.83333333333333,79.16666666666666
1956,1956,Eduard Streltsov,Eduard Streltsov,eduard-streltsov-1937,13,1956-01-01,1956-12-31,Torpedo Moscow,Soviet Union,Forward attacking midfielder,forward,1,0,0,0,12.0,22.0,0.5454545454545454,22.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,75.0,16.666666666666664,87.5
1956,1956,Marcelino Campanal,Marcelino Campanal,marcelino-campanal-1932,21,1956-01-01,1956-12-31,Sevilla,Spain,Defender,defender,0,0,1,0,2.0,32.0,0.07407407407407407,,1,0,0,0,0,0,0,0,0,0,0,2,2,2,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,14.583333333333334,87.5,14.583333333333334
1956,1956,Břetislav Dolejší,Břetislav Dolejší,bretislav-dolejsi-1928,21,1956-01-01,1956-12-31,Dukla Prague,Czechoslovakia,Goalkeeper,goalkeeper,0,0,0,1,0.0,32.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,6.25,87.5,6.25
1956,1956,Roger Piantoni,Roger Piantoni,roger-piantoni-1931,21,1956-01-01,1956-12-31,FC Nancy,France,Inside forward,forward,1,0,0,0,16.0,30.0,0.5348837209302325,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,87.5,45.83333333333333,79.16666666666666
1956,1956,Kees Rijvers,Kees Rijvers,kees-rijvers-1926,21,1956-01-01,1956-12-31,Saint-Étienne,Netherlands,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,56.25,68.75,56.25
1957,1957,Alfredo Di Stéfano,Alfredo Di Stéfano,alfredo-di-stefano-1926,1,1957-01-01,1957-12-31,Real Madrid,Spain,Forward midfielder,forward,1,0,0,0,31.0,30.0,1.0333333333333334,30.0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,1,1,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,95.65217391304348,50.0,100.0
1957,1957,Billy Wright,Billy Wright,billy-wright,2,1957-01-01,1957-12-31,Wolverhampton Wanderers,England,,unknown,0,0,0,0,5.0,28.0,0.1724137931034483,,1,0,1,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,28.26086956521739,36.95652173913043,32.608695652173914
1957,1957,Duncan Edwards,Duncan Edwards,duncan-edwards-1936,3,1957-01-01,1957-12-31,Manchester United,England,Left half,unknown,0,0,0,0,5.0,34.0,0.14705882352941177,34.0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,28.26086956521739,95.65217391304348,21.73913043478261
1957,1957,Raymond Kopa,Raymond Kopa,raymond-kopa-1931,3,1957-01-01,1957-12-31,Real Madrid,France,Forward attacking midfielder,forward,1,0,0,0,6.0,22.0,0.2727272727272727,22.0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,1,1,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,39.130434782608695,21.73913043478261,60.86956521739131
1957,1957,László Kubala,László Kubala,laszlo-kubala-1927,5,1957-01-01,1957-12-31,Barcelona,Hungary,Striker,forward,1,0,0,0,9.0,18.0,0.5,18.0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,69.56521739130434,17.391304347826086,65.21739130434783
1957,1957,John Charles,John Charles,john-charles-1931,6,1957-01-01,1957-12-31,Leeds United Juventus,Wales,Centre-forward centre-back,forward,1,0,0,0,38.0,40.0,0.95,40.0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,100.0,100.0,95.65217391304348
1957,1957,Eduard Streltsov,Eduard Streltsov,eduard-streltsov-1937,7,1957-01-01,1957-12-31,Torpedo Moscow,Soviet Union,Forward attacking midfielder,forward,1,0,0,0,12.0,15.0,0.8,15.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,73.91304347826086,13.043478260869565,91.30434782608695
1957,1957,Tommy Taylor,Tommy Taylor,tommy-taylor-1932,8,1957-01-01,1957-12-31,Manchester United,England,Centre-forward,forward,1,0,0,0,22.0,32.0,0.6875,32.0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,91.30434782608695,82.6086956521739,86.95652173913044
1957,1957,József Bozsik,József Bozsik,jozsef-bozsik-1925,9,1957-01-01,1957-12-31,Budapest Honvéd,Hungary,Central midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,54.347826086956516,67.3913043478261,45.65217391304348
1957,1957,Igor Netto,Igor Netto,igor-netto-1930,9,1957-01-01,1957-12-31,Spartak Moscow,Soviet Union,Midfielder,midfielder,0,1,0,0,7.0,31.0,0.21875,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,54.347826086956516,67.3913043478261,45.65217391304348
1957,1957,Lev Yashin,Lev Yashin,lev-yashin-1929,11,1957-01-01,1957-12-31,Dynamo Moscow,Soviet Union,Goalkeeper,goalkeeper,0,0,0,1,0.0,12.0,0.0,12.0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,6.521739130434782,8.695652173913043,6.521739130434782
1957,1957,Paco Gento,Paco Gento,paco-gento-1933,12,1957-01-01,1957-12-31,Real Madrid,Spain,Outside left,unknown,0,0,0,0,7.0,27.0,0.25925925925925924,27.0,0,1,1,1,0,0,0,0,0,0,0,1,3,3,1,1,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,0,0,0,54.347826086956516,30.434782608695656,56.52173913043478
1957,1957,Gyula Grosics,Gyula Grosics,gyula-grosics-1926,12,1957-01-01,1957-12-31,Budapest Honvéd Tatabánya,Hungary,Goalkeeper,goalkeeper,0,0,0,1,0.0,32.0,0.0,,1,0,0,0,0,0,0,0,0,0,0,3,1,1,0,0,classical,calendar,built from ground_truth_resolved + stats_combined + trophies + narrative,1,1,1,6.521739130434782,82.6086956521739,6.521739130434782
