player_name_raw,status,position,birth_year,career_stats_count,url
Achraf Hakimi,ok,Right-back,1998.0,13,https://en.wikipedia.org/wiki/Achraf_Hakimi
Ademola Lookman,ok,Attacking midfielder winger second striker,1997.0,18,https://en.wikipedia.org/wiki/Ademola_Lookman
Adrian Mutu,ok,Forward attacking midfielder,1979.0,35,https://en.wikipedia.org/wiki/Adrian_Mutu
Adriano,ok,,,0,https://en.wikipedia.org/wiki/Adriano
Agne Simonsson,ok,Forward,1935.0,0,https://en.wikipedia.org/wiki/Agne_Simonsson
Ake Johansson,ok,Defender,1928.0,0,https://en.wikipedia.org/wiki/Ake_Johansson
Alain Giresse,ok,Midfielder,1952.0,21,https://en.wikipedia.org/wiki/Alain_Giresse
Alan Ball,ok,,,0,https://en.wikipedia.org/wiki/Alan_Ball
Alan Shearer,ok,Striker,1970.0,23,https://en.wikipedia.org/wiki/Alan_Shearer
Albert Shesternyov,ok,Libero,1941.0,0,https://en.wikipedia.org/wiki/Albert_Shesternyov
Alen Bokšić,ok,Forward,1970.0,23,https://en.wikipedia.org/wiki/Alen_Bokšić
Alessandro Altobelli,ok,Forward,1955.0,20,https://en.wikipedia.org/wiki/Alessandro_Altobelli
Alessandro Del Piero,ok,Second striker,1974.0,28,https://en.wikipedia.org/wiki/Alessandro_Del_Piero
Alessandro Nesta,ok,Centre back,1976.0,26,https://en.wikipedia.org/wiki/Alessandro_Nesta
Alexis Mac Allister,ok,Midfielder,1998.0,16,https://en.wikipedia.org/wiki/Alexis_Mac_Allister
Alexis Sánchez,ok,Winger striker,1988.0,32,https://en.wikipedia.org/wiki/Alexis_Sánchez
Alexsandr Chivadze,ok,Defender,1955.0,0,https://en.wikipedia.org/wiki/Aleksandre_Chivadze
Alfredo Di Stéfano,ok,Forward midfielder,1926.0,27,https://en.wikipedia.org/wiki/Alfredo_Di_Stéfano
Ali Kemal,ok,,1869.0,0,https://en.wikipedia.org/wiki/Ali_Kemal
Alisson,ok,Goalkeeper,1992.0,18,https://en.wikipedia.org/wiki/Alisson
Allan Simonsen,ok,Striker right winger,1952.0,0,https://en.wikipedia.org/wiki/Allan_Simonsen
Ally McCoist,ok,Striker,1962.0,29,https://en.wikipedia.org/wiki/Ally_McCoist
Amancio,ok,,,0,https://en.wikipedia.org/wiki/Amancio
Anatoliy Byshovets,ok,Striker,1946.0,0,https://en.wikipedia.org/wiki/Anatoliy_Byshovets
Anatoliy Demyanenko,ok,Left-back left winger,1959.0,18,https://en.wikipedia.org/wiki/Anatoliy_Demyanenko
Anders Linderoth,ok,Midfielder,1950.0,0,https://en.wikipedia.org/wiki/Anders_Linderoth
