Season,Champions[7],Score[7],Runners-up[7],Venue
1903,VfB Leipzig (1),7–2,Deutscher FC Prag,Altona
1904,"No champions (unresolved protest, final not played per DFB)","No champions (unresolved protest, final not played per DFB)","No champions (unresolved protest, final not played per DFB)",Kassel
1905,Union 92 Berlin (1),2–0,Karlsruher FV,Köln
1906,VfB Leipzig (2),2–1,1. FC Pforzheim,Nuremberg
1907,Freiburger FC (1),3–1,Viktoria Berlin,Mannheim
1908,Viktoria Berlin (1),3–0,Stuttgarter Kickers,Berlin
1909,Phönix Karlsruhe (1),4–2,Viktoria Berlin,Breslau
1910,Karlsruher FV (1),1–0 (a.e.t.),Holstein Kiel,Köln
1911,Viktoria Berlin (2),3–1,VfB Leipzig,Dresden
1912,Holstein Kiel (1),1–0,Karlsruher FV,Hamburg
1913,VfB Leipzig (3),3–1,Duisburger SpV,München
1914,SpVgg Fürth (1),3–2 (a.e.t.),VfB Leipzig,Magdeburg
1915–1919,Suspended due to World War I,Suspended due to World War I,Suspended due to World War I,Suspended due to World War I
1920,1. FC Nürnberg (1),2–0,SpVgg Fürth,Frankfurt
1921,1. FC Nürnberg (2),5–0,Berliner FC Vorwärts 1890,Düsseldorf
1922,No champions (title declined per DFB),2–2 (a.e.t.) 1–1 (a.e.t.),Hamburger SV 1. FC Nürnberg,Berlin Leipzig
1923,Hamburger SV (1),3–0,Union Oberschöneweide,Berlin
1924,1. FC Nürnberg (3),2–0,Hamburger SV,Berlin
1925,1. FC Nürnberg (4),1–0 (a.e.t.),FSV Frankfurt,Frankfurt
1926,SpVgg Fürth (2),4–1,Hertha BSC,Frankfurt
1927,1. FC Nürnberg (5),2–0,Hertha BSC,Berlin
1928,Hamburger SV (2),5–2,Hertha BSC,Hamburg
1929,SpVgg Fürth (3),3–2,Hertha BSC,Nuremberg
1930,Hertha BSC (1),5–4,Holstein Kiel,Düsseldorf
1931,Hertha BSC (2),3–2,TSV 1860 Munich,Köln
1932,Bayern Munich (1),2–0,Eintracht Frankfurt,Nuremberg
,,,,
