Season,Winners[2],Pts,Runners-up[6][7],Pts.1,Third place[6][7],Pts.2,Top scorer(s)[8],Top scorer's club(s)[8],Goals[8]
1929,Barcelona (1),25,Madrid FC[a] (1),23,Athletic Bilbao (1),20,Paco Bienzobas,Real Sociedad,14
1929–30,Athletic Bilbao (1) †,30,Barcelona (1),23,Arenas (1),20,Guillermo Gorostiza,Athletic Bilbao,19
1930–31,Athletic Bilbao (2) †,22,Racing Santander (1),22,Real Sociedad (1),22,Bata,Athletic Bilbao,27
1931–32,Madrid FC[a] (1),28,Athletic Bilbao (1),25,Barcelona (1),24,Guillermo Gorostiza,Athletic Bilbao,12
1932–33,Madrid FC[a] (2),28,Athletic Bilbao (2),26,Espanyol (1),22,Manuel Olivares,Madrid FC,16
1933–34,Athletic Bilbao (3),24,Madrid FC (2),22,Racing Santander (1),19,Isidro Lángara,Oviedo,27
1934–35,Real Betis (1),34,Madrid FC (3),33,Oviedo (1),26,Isidro Lángara,Oviedo,26
1935–36,Athletic Bilbao (4),31,Madrid FC (4),29,Oviedo (2),28,Isidro Lángara,Oviedo,27
1936–37,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War
1937–38,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War
1938–39,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War,Not played due to the Spanish Civil War
1939–40,Atlético Aviación[b] (1),29,Sevilla (1),28,Athletic Bilbao (2),26,Víctor Unamuno,Athletic Bilbao,22
1940–41,Atlético Aviación[b] (2),33,Athletic Bilbao (3),31,Valencia (1),27,Pruden,Atlético Aviación[b],30
1941–42,Valencia (1),40,Real Madrid (5),33,Atlético Aviación[b] (1),33,Edmundo Suárez,Valencia,27
1942–43,Athletic Bilbao (5) †,36,Sevilla (2),33,Barcelona (2),32,Mariano Martín,Barcelona,32
1943–44,Valencia (2),40,Atlético Aviación[b] (1),34,Sevilla (1),32,Edmundo Suárez,Valencia,27
1944–45,Barcelona (2),39,Real Madrid (6),38,Atlético Aviación[b] (2),31,Telmo Zarra,Atlético Bilbao,19
1945–46,Sevilla (1),36,Barcelona (2),35,Athletic Bilbao (3),35,Telmo Zarra,Atlético Bilbao,24
1946–47,Valencia (3),34,Athletic Bilbao (4),34,Atlético Aviación[b] (3),32,Telmo Zarra,Atlético Bilbao,34
1947–48,Barcelona (3),37,Valencia (1),34,Atlético Madrid (1),33,Pahiño,Celta Vigo,23
1948–49,Barcelona (4),37,Valencia (2),35,Real Madrid (1),34,César Rodríguez,Barcelona,28
1949–50,Atlético Madrid (3),33,Deportivo La Coruña (1),32,Valencia (2),31,Telmo Zarra,Athletic Bilbao,25
1950–51,Atlético Madrid (4),40,Sevilla (3),38,Valencia (3),37,Telmo Zarra,Athletic Bilbao,38
1951–52,Barcelona (5) †,43,Athletic Bilbao (5),40,Real Madrid (2),38,Pahiño,Real Madrid,28
1952–53,Barcelona (6) †,42,Valencia (3),40,Real Madrid (3),39,Telmo Zarra,Athletic Bilbao,24
1953–54,Real Madrid (3),40,Barcelona (3),36,Valencia (4),34,Alfredo Di Stéfano,Real Madrid,27
1954–55,Real Madrid (4),46,Barcelona (4),41,Athletic Bilbao (4),39,Juan Arza,Sevilla,28
1955–56,Athletic Bilbao (6) †,48,Barcelona (5),47,Real Madrid (4),38,Alfredo Di Stéfano,Real Madrid,24
1956–57,Real Madrid (5) †,44,Sevilla (4),39,Barcelona (3),39,Alfredo Di Stéfano,Real Madrid,31
1957–58,Real Madrid (6) †,45,Atlético Madrid (2),42,Barcelona (4),38,Ricardo AlósManuel BadenesAlfredo Di Stéfano,ValenciaValladolidReal Madrid,19
1958–59,Barcelona (7) †,51,Real Madrid (7),47,Athletic Bilbao (5),36,Alfredo Di Stéfano,Real Madrid,23
1959–60,Barcelona (8),46,Real Madrid (8),46,Athletic Bilbao (6),39,Ferenc Puskás,Real Madrid,26
1960–61,Real Madrid (7),52,Atlético Madrid (3),40,Zaragoza (1),33,Ferenc Puskás,Real Madrid,27
1961–62,Real Madrid (8) †,43,Barcelona (6),40,Atlético Madrid (2),36,Juan Seminario,Zaragoza,25
1962–63,Real Madrid (9),49,Atlético Madrid (4),37,Oviedo (3),33,Ferenc Puskás,Real Madrid,26
1963–64,Real Madrid (10),46,Barcelona (7),42,Real Betis (1),37,Ferenc Puskás,Real Madrid,20
1964–65,Real Madrid (11),47,Atlético Madrid (5),43,Zaragoza (2),40,Cayetano Ré,Barcelona,25
1965–66,Atlético Madrid (5),44,Real Madrid (9),43,Barcelona (5),38,Vavá II,Elche,19
1966–67,Real Madrid (12),47,Barcelona (8),42,Espanyol (2),37,Waldo,Valencia,24
1967–68,Real Madrid (13),42,Barcelona (9),39,Las Palmas (1),38,Fidel Uriarte,Athletic Bilbao,22
1968–69,Real Madrid (14),47,Las Palmas (1),38,Barcelona (6),36,Amancio AmaroJosé Eulogio Gárate,Real MadridAtlético Madrid,14
1969–70,Atlético Madrid (6),42,Athletic Bilbao (6),41,Sevilla (2),35,Amancio AmaroLuis AragonésJosé Eulogio Gárate,Real MadridAtlético MadridAtlético Madrid,16
1970–71,Valencia (4),43,Barcelona (10),43,Atlético Madrid (3),42,José Eulogio GárateCarles Rexach,Atlético MadridBarcelona,17
1971–72,Real Madrid (15),47,Valencia (4),45,Barcelona (7),43,Enrique Porta,Granada,20
1972–73,Atlético Madrid (7),48,Barcelona (11),46,Espanyol (3),45,Marianín,Oviedo,19
1973–74,Barcelona (9),50,Atlético Madrid (6),42,Zaragoza (3),40,Quini,Sporting Gijón,20
1974–75,Real Madrid (16) †,50,Zaragoza (1),38,Barcelona (8),37,Carlos,Athletic Bilbao,19
1975–76,Real Madrid (17),48,Barcelona (12),43,Atlético Madrid (4),42,Quini,Sporting Gijón,21
1976–77,Atlético Madrid (8),46,Barcelona (13),45,Athletic Bilbao (7),38,Mario Kempes,Valencia,24
1977–78,Real Madrid (18),47,Barcelona (14),41,Athletic Bilbao (8),40,Mario Kempes,Valencia,28
1978–79,Real Madrid (19),47,Sporting Gijón (1),43,Atlético Madrid (5),41,Hans Krankl,Barcelona,29
1979–80,Real Madrid (20) †,53,Real Sociedad (1),52,Sporting Gijón (1),39,Quini,Sporting Gijón,24
1980–81,Real Sociedad (1),45,Real Madrid (10),45,Atlético Madrid (6),42,Quini,Barcelona,20
1981–82,Real Sociedad (2),47,Barcelona (15),45,Real Madrid (5),44,Quini,Barcelona,26
