Ed.,Season,Winners[4],Runners-up,Third place,Unnamed: 5_level_0
Amateur era (1893–1929),Amateur era (1893–1929),Amateur era (1893–1929),Amateur era (1893–1929),Amateur era (1893–1929),Unnamed: 5_level_1
1,1893–94,Standard Athletic Club (1),The White Rovers,,
2,1894–95,Standard Athletic Club (2),The White Rovers,,
3,1895–96,Club Français (1),The White Rovers,,
4,1896–97,Standard Athletic Club (3),The White Rovers,,
5,1897–98,Standard Athletic Club (4),Club Français,,
6,1898–99,Le Havre (1),Club Français,,
7,1899–1900,Le Havre (2),Club Français,,
8,1900–01,Standard Athletic Club (5),Le Havre,,
9,1901–02,Roubaix (1),RC Paris,,
10,1902–03,Roubaix (2),RC Paris,,
11,1903–04,Roubaix (3),Suisse Paris,,
12,1904–05,Gallia Club Paris (1),Roubaix,,
13,1905–06,Roubaix (4),CA Paris,,
14,1906–07,RC Paris (1),Roubaix,,
15,1907–08,Roubaix (5),RC Paris,,
16,1908–09,Stade Helvétique (1),CA Paris,,
17,1909–10,US Tourcoing (1),Stade Helvétique,,
18,1910–11,Stade Helvétique (2),RC Paris,,
19,1911–12,Saint-Raphaël (1),AS Française,,
20,1912–13,Stade Helvétique (3),Rouen,,
21,1913–14,Olympique Lillois (1),Sète,,
–,1914–18,Suspended due to World War I,Suspended due to World War I,Suspended due to World War I,
22,1918–19,Le Havre (3),Marseille,,
–,1919–26,Not Played,Not Played,Not Played,
23,1926–27,CA Paris (1),Amiens AC,Marseille,
24,1927–28,Stade Français (1)[nb 1],US Tourcoing,,
25,1928–29,Marseille (1)[nb 2],Club Français,,
–,1929–32,Not Played,Not Played,Not Played,
Professional era (1932–present)[2][21][22],Professional era (1932–present)[2][21][22],Professional era (1932–present)[2][21][22],Professional era (1932–present)[2][21][22],Professional era (1932–present)[2][21][22],
26,1932–33,Olympique Lillois (2),Cannes,RC Paris,
27,1933–34,Sète (1),Fives,Marseille,
28,1934–35,Sochaux (1),Strasbourg,RC Paris,
29,1935–36,RC Paris (2),Olympique Lillois,Strasbourg,
30,1936–37,Marseille (2),Sochaux,RC Paris,
31,1937–38,Sochaux (2),Marseille,Sète,
32,1938–39,Sète (2),Marseille,RC Paris,
–,1939–45,Suspended due to World War II,Suspended due to World War II,Suspended due to World War II,Suspended due to World War II
33,1945–46,Lille (1),Saint-Étienne,CO Roubaix-Tourcoing,
34,1946–47,Roubaix–Tourcoing (1),Reims,Strasbourg,
35,1947–48,Marseille (3),Lille,Reims,
36,1948–49,Reims (1),Lille,Marseille,
37,1949–50,Bordeaux (1),Lille,Reims,
38,1950–51,Nice (1),Lille,Le Havre,
