Ed.,Year,Winners,Score,Runners-up,Venue,Location,Attendance
30.0,1975.0,Peru,0–1,Colombia,El Campín,"Bogotá, Colombia",50000.0
30.0,1975.0,Peru,2–0,Colombia,Estadio Nacional,"Lima, Peru",50000.0
30.0,1975.0,Peru,1–0 [n 1],Colombia,Estadio Olímpico,"Caracas, Venezuela",30000.0
31.0,1979.0,Paraguay,3–0,Chile,Defensores del Chaco,"Asunción, Paraguay",36700.0
31.0,1979.0,Paraguay,0–1,Chile,Estadio Nacional,"Santiago, Chile",51200.0
31.0,1979.0,Paraguay,0–0 (a.e.t.) [n 2],Chile,José Amalfitani,"Buenos Aires, Argentina",30000.0
32.0,1983.0,Uruguay,2–0,Brazil,Estadio Centenario,"Montevideo, Uruguay",65000.0
32.0,1983.0,Uruguay,1–1 [n 3],Brazil,Fonte Nova,"Salvador, Brazil",95000.0
33.0,1987.0,Uruguay,1–0,Chile,Monumental,"Buenos Aires, Argentina",35000.0
36.0,1993.0,Argentina,2–1,Mexico,Monumental,"Guayaquil, Ecuador",40000.0
37.0,1995.0,Uruguay,1–1 (5–3 p),Brazil,Estadio Centenario,"Montevideo, Uruguay",60000.0
38.0,1997.0,Brazil,3–1,Bolivia,Hernando Siles,"La Paz, Bolivia",46000.0
39.0,1999.0,Brazil,3–0,Uruguay,Defensores del Chaco,"Asunción, Paraguay",30000.0
40.0,2001.0,Colombia,1–0,Mexico,El Campín,"Bogotá, Colombia",47000.0
41.0,2004.0,Brazil,2–2 (4–2 p),Argentina,Estadio Nacional,"Lima, Peru",43000.0
42.0,2007.0,Brazil,3–0,Argentina,José E. Romero,"Maracaibo, Venezuela",40000.0
43.0,2011.0,Uruguay,3–0,Paraguay,Monumental,"Buenos Aires, Argentina",57921.0
44.0,2015.0,Chile,0–0 (a.e.t.) (4–1 p),Argentina,Estadio Nacional,"Santiago, Chile",45693.0
45.0,2016.0,Chile,0–0 (a.e.t.) (4–2 p),Argentina,MetLife Stadium,"East Rutherford, United States",82026.0
46.0,2019.0,Brazil,3–1,Peru,Maracanã,"Rio de Janeiro, Brazil",69968.0
47.0,2021.0,Argentina,1–0,Brazil,Maracanã,"Rio de Janeiro, Brazil",7800.0
48.0,2024.0,Argentina,1–0 (a.e.t.),Colombia,Hard Rock Stadium,"Miami Gardens, United States",65300.0
49.0,2028.0,,,,,,
,,,,,,,
