year,winner_country,source
1975,Peru,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1975,Peru,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1975,Peru,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1979,Paraguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1979,Paraguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1979,Paraguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1983,Uruguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1983,Uruguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1987,Uruguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1993,Argentina,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1995,Uruguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1997,Brazil,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
1999,Brazil,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2001,Colombia,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2004,Brazil,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2007,Brazil,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2011,Uruguay,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2015,Chile,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2016,Chile,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2019,Brazil,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2021,Argentina,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2024,Argentina,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
2028,nan,https://en.wikipedia.org/wiki/List_of_Copa_Am%C3%A9rica_finals
