year,winner_country,source
1960,Soviet Union,https://en.wikipedia.org/wiki/UEFA_European_Championship
1964,Spain,https://en.wikipedia.org/wiki/UEFA_European_Championship
1968,Italy,https://en.wikipedia.org/wiki/UEFA_European_Championship
1972,West Germany,https://en.wikipedia.org/wiki/UEFA_European_Championship
1976,Czechoslovakia,https://en.wikipedia.org/wiki/UEFA_European_Championship
1980,West Germany,https://en.wikipedia.org/wiki/UEFA_European_Championship
1984,France,https://en.wikipedia.org/wiki/UEFA_European_Championship
1988,Netherlands,https://en.wikipedia.org/wiki/UEFA_European_Championship
1992,Denmark,https://en.wikipedia.org/wiki/UEFA_European_Championship
1996,Germany,https://en.wikipedia.org/wiki/UEFA_European_Championship
2000,France,https://en.wikipedia.org/wiki/UEFA_European_Championship
2004,Greece,https://en.wikipedia.org/wiki/UEFA_European_Championship
2008,Spain,https://en.wikipedia.org/wiki/UEFA_European_Championship
2012,Spain,https://en.wikipedia.org/wiki/UEFA_European_Championship
2016,Portugal,https://en.wikipedia.org/wiki/UEFA_European_Championship
2020,Italy,https://en.wikipedia.org/wiki/UEFA_European_Championship
2024,Spain,https://en.wikipedia.org/wiki/UEFA_European_Championship
2028,nan,https://en.wikipedia.org/wiki/UEFA_European_Championship
2032,nan,https://en.wikipedia.org/wiki/UEFA_European_Championship
