season,year,winner_club,runner_up,source
1955–56,1956,Real Madrid,Reims,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1956–57,1957,Real Madrid,Fiorentina,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1957–58,1958,Real Madrid,Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1958–59,1959,Real Madrid,Reims,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1959–60,1960,Real Madrid,Eintracht Frankfurt,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1960–61,1961,Benfica,Barcelona,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1961–62,1962,Benfica,Real Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1962–63,1963,Milan,Benfica,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1963–64,1964,Inter Milan,Real Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1964–65,1965,Inter Milan,Benfica,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1965–66,1966,Real Madrid,Partizan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1966–67,1967,Celtic,Inter Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1967–68,1968,Manchester United,Benfica,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1968–69,1969,Milan,Ajax,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1969–70,1970,Feyenoord,Celtic,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1970–71,1971,Ajax,Panathinaikos,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1971–72,1972,Ajax,Inter Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1972–73,1973,Ajax,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1973–74,1974,Bayern Munich,Atlético Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1973–74,1974,Bayern Munich,Atlético Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1974–75,1975,Bayern Munich,Leeds United,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1975–76,1976,Bayern Munich,Saint-Étienne,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1976–77,1977,Liverpool,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1977–78,1978,Liverpool,Club Brugge,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1978–79,1979,Nottingham Forest,Malmö FF,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1979–80,1980,Nottingham Forest,Hamburger SV,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1980–81,1981,Liverpool,Real Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1981–82,1982,Aston Villa,Bayern Munich,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1982–83,1983,Hamburger SV,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1983–84,1984,Liverpool,Roma,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1984–85,1985,Juventus,Liverpool,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1985–86,1986,Steaua București,Barcelona,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1986–87,1987,Porto,Bayern Munich,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1987–88,1988,PSV Eindhoven,Benfica,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1988–89,1989,Milan,Steaua București,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1989–90,1990,Milan,Benfica,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1990–91,1991,Red Star Belgrade,Marseille,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1991–92,1992,Barcelona,Sampdoria,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1992–93,1993,Marseille,Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1993–94,1994,Milan,Barcelona,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1994–95,1995,Ajax,Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1995–96,1996,Juventus,Ajax,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1996–97,1997,Borussia Dortmund,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1997–98,1998,Real Madrid,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1998–99,1999,Manchester United,Bayern Munich,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
1999–2000,2000,Real Madrid,Valencia,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2000–01,2001,Bayern Munich,Valencia,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2001–02,2002,Real Madrid,Bayer Leverkusen,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2002–03,2003,Milan,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2003–04,2004,Porto,Monaco,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2004–05,2005,Liverpool,Milan,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2005–06,2006,Barcelona,Arsenal,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2006–07,2007,Milan,Liverpool,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2007–08,2008,Manchester United,Chelsea,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2008–09,2009,Barcelona,Manchester United,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2009–10,2010,Inter Milan,Bayern Munich,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2010–11,2011,Barcelona,Manchester United,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2011–12,2012,Chelsea,Bayern Munich,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2012–13,2013,Bayern Munich,Borussia Dortmund,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2013–14,2014,Real Madrid,Atlético Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2014–15,2015,Barcelona,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2015–16,2016,Real Madrid,Atlético Madrid,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2016–17,2017,Real Madrid,Juventus,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2017–18,2018,Real Madrid,Liverpool,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
2018–19,2019,Liverpool,Tottenham Hotspur,https://en.wikipedia.org/wiki/List_of_European_Cup_and_UEFA_Champions_League_finals
