year,winner_country,source
1930,Uruguay,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1934,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1938,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1950,Uruguay,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1954,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1958,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1962,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1966,England,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1970,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1974,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1978,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1982,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1986,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1990,West Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1994,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
1998,France,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2002,Brazil,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2006,Italy,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2010,Spain,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2014,Germany,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2018,France,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2022,Argentina,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
2026,Spain,https://en.wikipedia.org/wiki/List_of_FIFA_World_Cup_finals
